true_class,predicted_class,count
dog,cat,60
cat,dog,60
deer,bird,44
cat,frog,43
airplane,bird,41
cat,bird,37
deer,frog,35
dog,bird,32
horse,deer,27
horse,bird,26
horse,dog,26
bird,frog,24
ship,airplane,23
bird,deer,21
ship,bird,21
frog,cat,18
truck,automobile,18
automobile,truck,18
automobile,ship,18
frog,bird,18
bird,airplane,17
bird,dog,16
horse,cat,16
bird,cat,15
deer,cat,15
airplane,ship,15
deer,horse,14
dog,horse,14
deer,dog,13
truck,ship,13
dog,deer,12
dog,frog,11
truck,airplane,10
airplane,deer,9
frog,deer,9
horse,truck,8
cat,horse,8
cat,deer,8
automobile,frog,8
airplane,truck,8
truck,bird,7
cat,airplane,7
frog,dog,6
truck,frog,6
bird,horse,6
horse,frog,6
cat,ship,5
deer,airplane,5
ship,frog,5
automobile,airplane,5
airplane,frog,5
airplane,cat,5
airplane,automobile,4
truck,cat,4
ship,automobile,4
horse,airplane,4
cat,truck,4
airplane,horse,3
ship,truck,3
ship,deer,3
dog,airplane,3
airplane,dog,2
cat,automobile,2
automobile,cat,2
frog,horse,2
truck,horse,2
horse,ship,2
bird,ship,2
deer,ship,2
automobile,bird,1
deer,truck,1
dog,automobile,1
bird,truck,1
dog,truck,1
horse,automobile,1
frog,truck,1
ship,cat,1
truck,deer,1
